position,company,exp,date,skills,detail
Python,Surya Informatics Solutions Pvt. Ltd.,0-3yrs,posted few days ago,"keyskills:python,webtechnologies,linux,mobile,mysql,angularjs,javascript",https://www.timesjobs.com/job-detail/python-surya-informatics-solutions-pvt-ltd-chennai-0-to-3-yrs-jobid-UVlLes58wutzpSvf__PLUS__uAgZw==&source=srp
QAPython/PythonSDET,GEMINI SOFTWARE SOLUTIONS,4-7yrs,posted few days ago,"keyskills:python,svn,nosql,pythonscripting,git,sqldatabase",https://www.timesjobs.com/job-detail/qa-python-python-sdet-gemini-software-solutions-gurgaon-4-to-7-yrs-jobid-QGkfZ0IeljpzpSvf__PLUS__uAgZw==&source=srp
QAPython/PythonSDET,Gemini Solutions,4-7yrs,posted few days ago,"keyskills:python,mobile,svn,nosql,pythonscripting,git,api,sqldatabase",https://www.timesjobs.com/job-detail/qa-python-python-sdet-gemini-solutions-gurgaon-4-to-7-yrs-jobid-eGMLzwOk2QlzpSvf__PLUS__uAgZw==&source=srp
PythonDeveloper,Ivan Infotech Pvt. Ltd.,2-5yrs,posted few days ago,"keyskills:rest,python,security,debugging",https://www.timesjobs.com/job-detail/python-developer-ivan-infotech-pvt-ltd-kolkata-2-to-5-yrs-jobid-1h6sLaqbaBZzpSvf__PLUS__uAgZw==&source=srp
Pythondevelopers,Angel and Genie,4-7yrs,posted few days ago,"keyskills:python,docker,messaging,pythonscripting",https://www.timesjobs.com/job-detail/python-developers-angel-and-genie-pune-4-to-7-yrs-jobid-RdTRi__PLUS__3E__SLASH__bpzpSvf__PLUS__uAgZw==&source=srp
PythonEngineer,east india securities ltd.,2-5yrs,posted few days ago,"keyskills:python,hadoop,machinelearning",https://www.timesjobs.com/job-detail/python-engineer-east-india-securities-ltd-kolkata-2-to-5-yrs-jobid-KEkE19WqPbFzpSvf__PLUS__uAgZw==&source=srp
PythonDeveloper,BRICKRED TECHNOLOGIES PVT. LTD.,0-3yrs,posted few days ago,"keyskills:imageprocessing,python,opencv",https://www.timesjobs.com/job-detail/python-developer-brickred-technologies-pvt-ltd-0-to-3-yrs-jobid-gFvdvfbX1XdzpSvf__PLUS__uAgZw==&source=srp
PythonDeveloper,BRICKRED TECHNOLOGIES PVT. LTD.,0-3yrs,posted few days ago,"keyskills:imageprocessing,python,opencv",https://www.timesjobs.com/job-detail/python-developer-brickred-technologies-pvt-ltd-0-to-3-yrs-jobid-p9__SLASH__whk__PLUS____PLUS__Ie1zpSvf__PLUS__uAgZw==&source=srp
PythonDeveloper,BRICKRED TECHNOLOGIES PVT. LTD.,0-3yrs,posted few days ago,"keyskills:imageprocessing,python,opencv",https://www.timesjobs.com/job-detail/python-developer-brickred-technologies-pvt-ltd-0-to-3-yrs-jobid-LHhOOHnAobhzpSvf__PLUS__uAgZw==&source=srp
PythonDeveloper,Perfios Software Solutions Pvt. Ltd.,5-8yrs,posted few days ago,"keyskills:python,java,scala",https://www.timesjobs.com/job-detail/python-developer-perfios-software-solutions-pvt-ltd-bengaluru-bangalore-5-to-8-yrs-jobid-vxzXapFfNqVzpSvf__PLUS__uAgZw==&source=srp
Pythonintern,sjain ventures,0-3yrs,posted few days ago,"keyskills:python,webdeveloper,webservices",https://www.timesjobs.com/job-detail/python-intern-sjain-ventures-raipur-0-to-3-yrs-jobid-KmspiL9__SLASH__D9hzpSvf__PLUS__uAgZw==&source=srp
PythonTrainer,APPLYCUP HIRING SOLUTIONS LLP,4-6yrs,posted few days ago,"keyskills:python,webtechnologies,webtechnologies",https://www.timesjobs.com/job-detail/python-trainer-applycup-hiring-solutions-llp-pune-4-to-6-yrs-jobid-3V1Biww1YVJzpSvf__PLUS__uAgZw==&source=srp
PythonDeveloper,brickred  ( 3pillar global ),0-3yrs,posted few days ago,"keyskills:sql,docker,postgresql,python,messaging,forms",https://www.timesjobs.com/job-detail/python-developer-brickred-3pillar-global-0-to-3-yrs-jobid-NmQ8svNSOhBzpSvf__PLUS__uAgZw==&source=srp
